disease,combined_text
Diaper Rash,"Disease: Diaper Rash | Disease Description: Diaper rash is skin irritation in the diaper area of infants or adults using diapers, often caused by moisture, friction, or infection. | Precautions Recommendation: Keep area dry, Change diapers frequently, Apply protective creams, Avoid scented products | Medicines Recommendation: ['Zinc oxide cream', 'Petroleum jelly', 'Topical antifungals (e.g., Clotrimazole)', 'Hydrocortisone cream (short-term)', 'Frequent diaper changes'] | Diet Recommendation: ['Breastfeeding (for infants)', 'For older babies: Avoid acidic foods (tomatoes, citrus)', 'Probiotics (yogurt)', 'Zinc-rich foods (eggs, meat)', 'Hydration'] | Workouts Recommendation: [""Not exercise-relevant: Focus on hygiene"", ""Avoid heat and sweat buildup"", ""Let skin breathe"", ""Gentle motion in open diapers (for infants)""]"
Eczema,"Disease: Eczema | Disease Description: Eczema (atopic dermatitis) is a chronic skin condition that causes itchy, inflamed, red, and dry skin, often triggered by allergens, stress, or irritants. | Precautions Recommendation: Moisturize regularly, Avoid irritants like soaps & wool, Use corticosteroid creams, Reduce stress | Medicines Recommendation: ['Topical corticosteroids', 'Emollients/Moisturizers', 'Antihistamines (for itching)', 'Calcineurin inhibitors (e.g., Tacrolimus)', 'Phototherapy (in severe cases)'] | Diet Recommendation: ['Anti-inflammatory foods (turmeric, blueberries)', 'Omega-3 fatty acids (salmon, chia seeds)', 'Avoid allergenic foods (dairy, gluten)', 'Probiotics', 'Vitamin D (eggs, mushrooms)'] | Workouts Recommendation: [""Avoid sweat-heavy routines"", ""Indoor walking or light yoga"", ""Cool, breathable workout clothing"", ""Shower promptly after exercise""]"
Diabetes Mellitus Type 2,"Disease: Diabetes Mellitus Type 2 | Disease Description: A chronic condition that affects how your body processes blood sugar (glucose). | Precautions Recommendation: Monitor blood sugar levels, maintain healthy weight, exercise regularly, avoid sugary foods. | Medicines Recommendation: ['Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'Insulin (if required)'] | Diet Recommendation: ['Whole grains', 'Leafy greens', 'Low-fat dairy', 'Avoid sugary drinks', 'Lean proteins'] | Workouts Recommendation: ['Brisk walking', 'Cycling', 'Strength training', 'Yoga for flexibility']"
Hypertension,"Disease: Hypertension | Disease Description: A condition in which the force of the blood against artery walls is too high. | Precautions Recommendation: Reduce salt intake, manage stress, exercise regularly, avoid smoking and alcohol. | Medicines Recommendation: ['ACE inhibitors', 'Beta-blockers', 'Calcium channel blockers', 'Diuretics'] | Diet Recommendation: ['Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Limit red meat'] | Workouts Recommendation: ['Aerobic exercises', 'Walking', 'Swimming', 'Deep breathing exercises']"
Obesity,"Disease: Obesity | Disease Description: A complex disease involving an excessive amount of body fat. | Precautions Recommendation: Follow a calorie deficit diet, get regular exercise, limit processed foods, sleep adequately. | Medicines Recommendation: ['Orlistat', 'Phentermine-topiramate', 'Behavioral therapy'] | Diet Recommendation: ['High-fiber foods', 'Fruits and vegetables', 'Avoid sugary and fried foods'] | Workouts Recommendation: ['Cardio exercises', 'Strength training', 'HIIT workouts', 'Walking']"
Migraine,"Disease: Migraine | Disease Description: A neurological condition characterized by intense, debilitating headaches. | Precautions Recommendation: Avoid triggers like caffeine and stress, stay hydrated, get adequate sleep. | Medicines Recommendation: ['Triptans', 'NSAIDs', 'Beta-blockers', 'Antidepressants'] | Diet Recommendation: ['Magnesium-rich foods', 'Avoid processed meats', 'Limit caffeine', 'Hydrating fluids'] | Workouts Recommendation: ['Yoga', 'Meditation', 'Stretching', 'Low-impact aerobic exercise']"
Anemia,"Disease: Anemia | Disease Description: A condition in which you lack enough healthy red blood cells to carry adequate oxygen. | Precautions Recommendation: Eat iron-rich foods, take supplements if prescribed, avoid tea or coffee with meals. | Medicines Recommendation: ['Iron supplements', 'Vitamin B12 injections', 'Folic acid tablets'] | Diet Recommendation: ['Leafy greens', 'Lentils', 'Lean red meat', 'Iron-fortified cereals'] | Workouts Recommendation: ['Light aerobic activity', 'Walking', 'Yoga', 'Stretching']"
Hypothyroidism,"Disease: Hypothyroidism | Disease Description: A condition in which the thyroid gland doesn't produce enough thyroid hormones. | Precautions Recommendation: Take thyroid medication regularly, avoid high-fat foods, manage stress. | Medicines Recommendation: ['Levothyroxine', 'Liothyronine'] | Diet Recommendation: ['Iodine-rich foods', 'Avoid soy products', 'Eat selenium-rich nuts'] | Workouts Recommendation: ['Walking', 'Swimming', 'Yoga', 'Light cardio']"
Acne,"Disease: Acne | Disease Description: A skin condition that occurs when hair follicles are clogged with oil and dead skin cells. | Precautions Recommendation: Keep face clean, avoid oily cosmetics, don’t squeeze pimples. | Medicines Recommendation: ['Benzoyl peroxide', 'Retinoids', 'Antibiotics', 'Isotretinoin'] | Diet Recommendation: ['Low-glycemic foods', 'Fruits and vegetables', 'Avoid dairy and sugar'] | Workouts Recommendation: ['Cardio', 'Yoga', 'Stress-reducing exercises']"
Gastroesophageal Reflux Disease (GERD),"Disease: Gastroesophageal Reflux Disease (GERD) | Disease Description: A digestive disorder where stomach acid frequently flows back into the esophagus. | Precautions Recommendation: Avoid lying down after eating, reduce spicy food, eat smaller meals. | Medicines Recommendation: ['Antacids', 'H2 blockers', 'Proton pump inhibitors'] | Diet Recommendation: ['Avoid citrus and spicy foods', 'Eat oatmeal', 'Include green vegetables'] | Workouts Recommendation: ['Walking', 'Avoid heavy lifting after meals']"
Influenza (Flu),"Disease: Influenza (Flu) | Disease Description: A contagious respiratory illness caused by influenza viruses. | Precautions Recommendation: Get vaccinated, wash hands frequently, avoid crowded areas. | Medicines Recommendation: ['Oseltamivir', 'Zanamivir', 'Acetaminophen for fever'] | Diet Recommendation: ['Warm fluids', 'Fruits rich in vitamin C', 'Soup and broth'] | Workouts Recommendation: ['Rest during infection', 'Light stretching after recovery']"
Insomnia,"Disease: Insomnia | Disease Description: A sleep disorder where you have trouble falling or staying asleep. | Precautions Recommendation: Maintain a sleep schedule, avoid caffeine at night, limit screen time. | Medicines Recommendation: ['Melatonin', 'Benzodiazepines', 'Zolpidem'] | Diet Recommendation: ['Warm milk', 'Magnesium-rich foods', 'Avoid caffeine'] | Workouts Recommendation: ['Meditation', 'Yoga', 'Light evening walk']"
